title,description,age_min,age_max,tags,cost,indoor_outdoor,season,players,duration_mins,source,generated_at,generation_batch
Letter Hunt Adventure,Hide letter cards around the house and have children find them in alphabetical order,4,5,"literacy, learning, active",free,indoor,all,1-3,25,generated_new_data,2025-11-20T16:27:17.456414,evaluation_batch_001
Debate Club Workshop,Practice public speaking and critical thinking through structured debates on current topics,12,16,"communication, critical_thinking, social",free,indoor,all,4-10,64,generated_new_data,2025-11-20T16:27:17.456480,evaluation_batch_001
Weather Science Experiments,"Simple experiments to learn about rain, clouds, and wind using household materials",4,6,"science, learning, exploration",low,indoor,all,2-4,25,generated_new_data,2025-11-20T16:27:17.456410,evaluation_batch_001
Simple Puzzle Play,Large piece puzzles with 3-5 pieces featuring animals or shapes,2,4,"cognitive, problem_solving, fine_motor",low,indoor,all,1,8,generated_new_data,2025-11-20T16:27:17.456393,evaluation_batch_001
Letter Hunt Adventure,Hide letter cards around the house and have children find them in alphabetical order,4,5,"literacy, learning, active",free,indoor,all,1-3,23,generated_new_data,2025-11-20T16:27:17.456412,evaluation_batch_001
Coding with Block Programming,Learn basic programming concepts using visual block-based coding platforms,7,10,"technology, coding, logic",free,indoor,all,1,53,generated_new_data,2025-11-20T16:27:17.456441,evaluation_batch_001
Coding with Block Programming,Learn basic programming concepts using visual block-based coding platforms,7,10,"technology, coding, logic",free,indoor,all,1,40,generated_new_data,2025-11-20T16:27:17.456450,evaluation_batch_001
Science Fair Project Planning,Design and execute a scientific experiment for science fair competition,13,17,"science, research, STEM",medium,indoor,all,1-2,120,generated_new_data,2025-11-20T16:27:17.456482,evaluation_batch_001
Color Sorting with Blocks,"Toddlers sort colorful blocks into matching colored buckets, developing color recognition and fine motor skills",2,3,"learning, fine_motor, cognitive",low,indoor,all,1-2,17,generated_new_data,2025-11-20T16:27:17.456323,evaluation_batch_001
Build a Bridge Challenge,"Use popsicle sticks, straws, and tape to build the strongest bridge",8,10,"engineering, STEM, creativity",low,indoor,all,2-4,59,generated_new_data,2025-11-20T16:27:17.456447,evaluation_batch_001
Math Scavenger Hunt,Solve math problems to find clues leading to hidden treasure,7,9,"math, problem_solving, adventure",free,both,all,2-6,47,generated_new_data,2025-11-20T16:27:17.456443,evaluation_batch_001
Color Sorting with Blocks,"Toddlers sort colorful blocks into matching colored buckets, developing color recognition and fine motor skills",2,3,"learning, fine_motor, cognitive",low,indoor,all,1-2,13,generated_new_data,2025-11-20T16:27:17.456384,evaluation_batch_001
Texture Discovery Box,"Explore different textures using household items like cotton, sandpaper, fabric, and sponges",1,3,"sensory, exploration, tactile",free,indoor,all,1-3,16,generated_new_data,2025-11-20T16:27:17.456400,evaluation_batch_001
Build a Bridge Challenge,"Use popsicle sticks, straws, and tape to build the strongest bridge",8,10,"engineering, STEM, creativity",low,indoor,all,2-4,62,generated_new_data,2025-11-20T16:27:17.456455,evaluation_batch_001
Color Sorting with Blocks,"Toddlers sort colorful blocks into matching colored buckets, developing color recognition and fine motor skills",2,3,"learning, fine_motor, cognitive",low,indoor,all,1-2,16,generated_new_data,2025-11-20T16:27:17.456360,evaluation_batch_001
Science Fair Project Planning,Design and execute a scientific experiment for science fair competition,13,17,"science, research, STEM",medium,indoor,all,1-2,122,generated_new_data,2025-11-20T16:27:17.456478,evaluation_batch_001
Letter Hunt Adventure,Hide letter cards around the house and have children find them in alphabetical order,4,5,"literacy, learning, active",free,indoor,all,1-3,15,generated_new_data,2025-11-20T16:27:17.456424,evaluation_batch_001
Texture Discovery Box,"Explore different textures using household items like cotton, sandpaper, fabric, and sponges",1,3,"sensory, exploration, tactile",free,indoor,all,1-3,24,generated_new_data,2025-11-20T16:27:17.456374,evaluation_batch_001
Photography Walk,Explore photography basics while taking nature and urban photos,11,17,"art, creativity, outdoor, technology",medium,outdoor,spring,1-5,85,generated_new_data,2025-11-20T16:27:17.456460,evaluation_batch_001
Build a Bridge Challenge,"Use popsicle sticks, straws, and tape to build the strongest bridge",8,10,"engineering, STEM, creativity",low,indoor,all,2-4,69,generated_new_data,2025-11-20T16:27:17.456457,evaluation_batch_001
Garden Planting Activity,Plant seeds in small pots and learn about plant growth and care,5,7,"nature, science, responsibility",low,outdoor,spring,1-4,44,generated_new_data,2025-11-20T16:27:17.456428,evaluation_batch_001
Debate Club Workshop,Practice public speaking and critical thinking through structured debates on current topics,12,16,"communication, critical_thinking, social",free,indoor,all,4-10,65,generated_new_data,2025-11-20T16:27:17.456472,evaluation_batch_001
Texture Discovery Box,"Explore different textures using household items like cotton, sandpaper, fabric, and sponges",1,3,"sensory, exploration, tactile",free,indoor,all,1-3,19,generated_new_data,2025-11-20T16:27:17.456396,evaluation_batch_001
Garden Planting Activity,Plant seeds in small pots and learn about plant growth and care,5,7,"nature, science, responsibility",low,outdoor,spring,1-4,47,generated_new_data,2025-11-20T16:27:17.456426,evaluation_batch_001
Letter Hunt Adventure,Hide letter cards around the house and have children find them in alphabetical order,4,5,"literacy, learning, active",free,indoor,all,1-3,19,generated_new_data,2025-11-20T16:27:17.456416,evaluation_batch_001
Photography Walk,Explore photography basics while taking nature and urban photos,11,17,"art, creativity, outdoor, technology",medium,outdoor,spring,1-5,87,generated_new_data,2025-11-20T16:27:17.456484,evaluation_batch_001
Weather Science Experiments,"Simple experiments to learn about rain, clouds, and wind using household materials",4,6,"science, learning, exploration",low,indoor,all,2-4,38,generated_new_data,2025-11-20T16:27:17.456420,evaluation_batch_001
Color Sorting with Blocks,"Toddlers sort colorful blocks into matching colored buckets, developing color recognition and fine motor skills",2,3,"learning, fine_motor, cognitive",low,indoor,all,1-2,22,generated_new_data,2025-11-20T16:27:17.456389,evaluation_batch_001
Debate Club Workshop,Practice public speaking and critical thinking through structured debates on current topics,12,16,"communication, critical_thinking, social",free,indoor,all,4-10,68,generated_new_data,2025-11-20T16:27:17.456474,evaluation_batch_001
Letter Hunt Adventure,Hide letter cards around the house and have children find them in alphabetical order,4,5,"literacy, learning, active",free,indoor,all,1-3,18,generated_new_data,2025-11-20T16:27:17.456408,evaluation_batch_001
Coding with Block Programming,Learn basic programming concepts using visual block-based coding platforms,7,10,"technology, coding, logic",free,indoor,all,1,47,generated_new_data,2025-11-20T16:27:17.456439,evaluation_batch_001
Debate Club Workshop,Practice public speaking and critical thinking through structured debates on current topics,12,16,"communication, critical_thinking, social",free,indoor,all,4-10,62,generated_new_data,2025-11-20T16:27:17.456464,evaluation_batch_001
