title,description,age_min,age_max,tags,cost,indoor_outdoor,season,players,duration_mins,source,generated_at,generation_batch
Build a Bridge Challenge,"Use popsicle sticks, straws, and tape to build the strongest bridge",8,10,"engineering, STEM, creativity",low,indoor,all,2-4,65,generated_new_data,2025-11-20T21:16:20.052718,evaluation_batch_001
Science Fair Project Planning,Design and execute a scientific experiment for science fair competition,13,17,"science, research, STEM",medium,indoor,all,1-2,118,generated_new_data,2025-11-20T21:16:20.052739,evaluation_batch_001
Letter Hunt Adventure,Hide letter cards around the house and have children find them in alphabetical order,4,5,"literacy, learning, active",free,indoor,all,1-3,25,generated_new_data,2025-11-20T21:16:20.052684,evaluation_batch_001
Math Scavenger Hunt,Solve math problems to find clues leading to hidden treasure,7,9,"math, problem_solving, adventure",free,both,all,2-6,42,generated_new_data,2025-11-20T21:16:20.052716,evaluation_batch_001
Garden Planting Activity,Plant seeds in small pots and learn about plant growth and care,5,7,"nature, science, responsibility",low,outdoor,spring,1-4,55,generated_new_data,2025-11-20T21:16:20.052706,evaluation_batch_001
Build a Bridge Challenge,"Use popsicle sticks, straws, and tape to build the strongest bridge",8,10,"engineering, STEM, creativity",low,indoor,all,2-4,61,generated_new_data,2025-11-20T21:16:20.052710,evaluation_batch_001
Texture Discovery Box,"Explore different textures using household items like cotton, sandpaper, fabric, and sponges",1,3,"sensory, exploration, tactile",free,indoor,all,1-3,26,generated_new_data,2025-11-20T21:16:20.052673,evaluation_batch_001
Weather Science Experiments,"Simple experiments to learn about rain, clouds, and wind using household materials",4,6,"science, learning, exploration",low,indoor,all,2-4,30,generated_new_data,2025-11-20T21:16:20.052697,evaluation_batch_001
Coding with Block Programming,Learn basic programming concepts using visual block-based coding platforms,7,10,"technology, coding, logic",free,indoor,all,1,55,generated_new_data,2025-11-20T21:16:20.052729,evaluation_batch_001
Debate Club Workshop,Practice public speaking and critical thinking through structured debates on current topics,12,16,"communication, critical_thinking, social",free,indoor,all,4-10,66,generated_new_data,2025-11-20T21:16:20.052751,evaluation_batch_001
